MOE_Code;MOE_Name;Address;Contact Person;Telephone;Telephone_Alt1;Telephone_Alt2;Email;Website;Year Opened;Longitude;Latitude;Area Administrative;Locality;Type;Ownership;Sector;School Administrator 1;School Administrator 2
A27101;Alvin L. Young Nazarene High School Evening Division;San Jose Succotz;Bay Rivers;;;;;;2025;0;0;Cayo;Rural;Adult and Continuing;Nazarene Schools;Government Aided;;
A29001;Baptist School of Adult Continuing Education;Banana Bank Area;Janice Willacey;822-2437;;;janicewillacey@hotmail.com;;2013;-88.7889361;17.26983906;Cayo;Urban;Adult and Continuing;Baptist Schools;Specially Assisted;;
A60001;Claver College Extension ACE;Jose Maria Nunez Street;Dave Forman;606-3079;;;clavercollege@gmail.com;;1999;-88.80549453;16.09747395;Toledo;Urban;Adult and Continuing;Community Schools;Specially Assisted;Dave Forman;
A30001;Corozal Community College ACE;San Andres Road;Ravey Vellos;422-3806;;;ravey.vellos@gmail.com;;0;-88.4057988;18.394154;Corozal;Urban;Adult and Continuing;Community Schools;Specially Assisted;;
A57001;Dangriga Adult Education Program;Dangriga Town;Francis Flores;661-2913;;;;;0;-88.21986096;16.97028255;Stann Creek;Urban;Adult and Continuing;Private Schools;Private;;
A50001;Ecumenical Adult Continuing Education;Ecumenical Drive, Dangriga Town;Ray Lawrence;522-2114;;;scec@btl.net;;0;-88.22656304;16.96271902;Stann Creek;Urban;Adult and Continuing;Community Schools;Specially Assisted;;
A30101;Escuela Secundaria Tecnica Mexico ACE;San Roman Village  Corozal District  Belize;Melba Rosalez;423-3140;;;mrosalez@estm.edu.bz;;1983;-88.5097694;18.3038216;Corozal;Rural;Adult and Continuing;Government Schools;Government;Melva Rosalez;
A10001;Gwen Lizarraga Evening Division;18 Antelope Street P.O. Box 702;Lorna McKay;227-7144;;;Lornamckay120@gmail.com;;0;-88.2001554;17.4944598;Belize;Urban;Adult and Continuing;Government Schools;Government;;
A50101;Independence High School ACE;Savannah Road, Independence Village;Omar Longsworth;523-2220;672-9497;;ind_highschool@yahoo.com;;2014;-88.42424198;16.53673198;Stann Creek;Rural;Adult and Continuing;Government Schools;Government;Omar Longsworth;
A47101;Missionary Outreach Volunteer Evangelism;Old Northern Highway  Miles 3  Carmelita Village;Keila E. Valenzula;;;;;;2015;0;0;Orange Walk;Rural;Adult and Continuing;Private Schools;Private;;
A21001;Saint Ignatius HS Evening Division;22A George Price Avenue, Santa Elena;Jeaneane Vanessa Neal;824-3294;;;saintignatiushighschool@yahoo.com;;2001;-89.06653845;17.15785688;Cayo;Urban;Adult and Continuing;Catholic Schools;Specially Assisted;;
A47001;San Juan Bautista ACE;136 San Andres Street, Orange Walk Town;Manuel Bautista;635-3150;;;sjbhs1621@yahoo.com;;0;-88.56742675;18.08688645;Orange Walk;Urban;Adult and Continuing;Private Schools;Private;;
A10002;San Pedro Evening Division;P. O Box 23  Lagoon Street  San Pedro Town;Paul Kelly;226-2045;;;pkelly110_rk@hotmail.com;;2014;-87.95937;17.924698;Belize;Urban;Adult and Continuing;Community Schools;Specially Assisted;;
A13001;Wesley Junior College;34 Yarborough Rd.;Eleanor Gillett;227-0333;;;wesleyjuniorcollege@yahoo.com;;2000;-88.18998202;17.48752669;Belize;Urban;Adult and Continuing;Methodist Schools;Government Aided;;
