MOE_Code;NAME;Address City;District;Contact Person 1;Contact Number 1;Email Address 1;Contact Person 2;Contact Number 2;Email Address 2
;All Saint School;Belize City;Belize;Collin Estrada ;223-1390/203-0273/604-3647;allsaintsschool@live.com;Ines Berry;610-2427;principal@allsaintsschool.edu.bz
;Alvin L.Young Nazarene High School;Benque Viejo Town;Cayo;Gerladine Herbert Cuna;631-0725;principal@alynhs.edu.bz;;671-8382;
;Anglican Cathedral College;Belize City;Belize;Nelson Longsworth ;227-2098/ 611-9309;angcolbelize@gmail.com  ;Ms. Jannine Longsworth ;615-9468;jannine.longsworth@acc.edu.bz
;Anglican Diocesan Preschool;Belize City;Belize;Francisca Thomas;207-0639/ 615-2099;;;;
;Anglican Diocese Of Belize St. Ann's Anglican Primary School;Belmopan City;Cayo;Alexander Locario;802-0445 / 621-9916;bzediocese@btl.net;;638-8786;walex2428@gmail.com
;Belize Adventist High School;Corozal Town;Corozal;Mrs Tillett;423-0044;principal@bac.edu.bz;Pamela Heron ;610-6445;bzadvcol@yahoo.com 
;Belize Adventist Junior College;Corozal Town;Corozal;Ms. Magana ;423-0068;dean@bajc.edu.bz;Rodger Acosta ;614-3178;
;Belize High School Of Agriculture;Orange Walk;Orange Walk;Mr. Abel Celiz;621-7847;principal@bhsa.edu.bz;Alfonso Sosa;602-5741;alfonsososa@bhsa.edu.bz
;Bella Vista High School;Bella Vista Village;Toledo;Juanita Lucas;615-3403;principal.bvgss@gmail.com;Robin Gray;637-7066;
;Belmopan Comprehensive;Belmopan City;Cayo;Mrs Krystal Mattis;822-2253;;;;
;Belmopan Methodist High School;Belmopan City;Cayo;Indira Bodden;661-2954;belmopanmethodist@btl.net;Ms. Peters;822-2153;bmpmethodist.hs@gmail.com
;Bernice Yorke Institue Of Learning;Belize City;Belize;Malaika Yorke;223-1876 ;info@byi.bz;Tessa Myvett;626-7873;info@byi.bz
;Bethel 7 Day Adventis;Punta Gorda Town;Toledo;Maribel Leonardo;614-6297 ;bethel.sda.pg@gmail.com;Mirtha Westby;665-4430;mirthaofiwestby@yahoo.com
;Big Falls RC;Punta Gorda Town;Toledo;Gregorio Chee;604-7467;bigfallsschool@gmail.com;Miguelina Mendez;636-3794;niome_mendez@yahoo.com
;Bishop Martin High School;Orange Walk Town;Orange Walk;Mr. Angel Leiva;322-3469/600-3375;principal@bmhsow.edu.bz ;Edilfonso Cajun;630-6872;edilfonsocajun@bmhsow.edu.bz
;Bishop Martin RC;San Ignacio Town;Cayo;Abimael Waight;622-7493;bishopmartin2001@gmail.com;;;
;Bullet Tree SDA;Bullet Tree Falls Village;Cayo;Clarita Valdez;650-3766 / 669-8933;bullettreesda2016@gmail.com;;;
;Burrell Boom Methodist School;Burrell Boom Village;Belize;Kevin Brooks;225-9024/ 661-9990;bbmmss2010@yahoo.com;Judy Sobers;676-4484;kpbrooks79@yahoo.com
;Buttonwood Bay Nazarene Pr Sch;Belize City;Belize;Avril Arthurs ;611-6946;bynz@gmail.com;Mrs. Wendy Smith ;614-9870;w6smith26@gmail.com
;Bze 7th Day Adventist - Ephesus;Belize City;Belize;Carol Collins ;623-9997;ephesusprimaryschool@gmail.com;Ms. Sharett Chang;669-5549;
;Calcutta Government School;Corozal Town;Corozal;Virginia Ek ;663-8519;calcuttagovernment2013@gmail.com;Viginia Ek;635-8908;calcuttagovernment2013@gmail.com 
;Calcutta SDA School;Corozal Town;Corozal;Mr Hernandez ;665-1897;calcuttasdaschool@gmail.com;;;
;Calvary Temple School;Belize City;Belize;Randeish Prior;227-1676/ 650-1996;calvarytempleschool60@gmail.com;Randeish Prior;650-1996;randeishprior@gmail.com randeishpriornew34@gmail.com
;Canaan SDA High School ;Belize City;Belize;Jaime Roberts;223-2297/ 630-9862;chsprincipal@chs.edu.bz;Larissa Jones ;;jonesl@chs.edu.bz
;Cayo Centre For Employment Training;San Ignacio Town;Cayo;;824-2944;eromero@cayocet.bz;;;
;Central Christian School;Belize City;Belize;Kenesha Perry;224-5674/ 623-8683/ 606-0993;centralchristianschoolag@gmail.com;Mr. Carlos Campos;633-7386;
;Chapel Primary School;Orange Walk;Orange Walk;Heidi Tejada;613-3994;chapelschool2018@gmail.com;;;
;Christ The King School;Dangriga Town;Stann Creek;Nancy Cruz;502-2462/615-7539;ctkas16@gmail.com;Felomena Petillo;614-5564;ctkas16@gmail.com
