;;;St → Saint, R.C. → RC have been normalized throughout
;Belize District 80;;
;;;
P12001;All Saints Anglican Primary School;;
P17010;Ambergris Caye Elementary Primary;;
S12001;Anglican Cathedral College ;;
P17001;Belize Elementary Primary School;;
S17004;Belize High School;;
S10101;Belize Rural High School;;
P10302;Belize Rural Primary School;;
P17005;Bernice Yorke Institute Of Learning Primary;;
P10401;Biscayne Government Primary;;
P13401;Burrell Boom Methodist Primary;;
P15001;Buttonwood Bay Nazarene Primary School;;
P19002;CalvaryTemple Primary School;;
S14001;Canaan SDA High School;;
P11201;Caye Caulker RC Primary;;
P16001;Central Christian Primary;;
P10301;CrookedTree Government Primary;;
P13002;Ebenezer Methodist Primary School;;
S10001;Edward P.Yorke High School;;
P14002;Ephesus SDA Primary;;
S10005;Excelsior High School;;
P19095;Friends Boys School;;
P10101;Gales Point Government Primary;;
S27102;GraceI nstrument Christian Academy;;
P19003;Grace Primary;;
P28105;Green Hill Community School;;
P50001;Gulisi Community Primary;;
S10002;Gwen Lizarraga High School;;
P10402;Hattieville Government Primary;;
P14450;Hattieville SDA Primary;;
P12009;Holy Cross Anglican Primary School;;
P11001;Holy Redeemer RC Primary;;
P17401;Horizon Academy Primary;;
P17009;Hummingbird Elementary Primary;;
P18450;Isabella Harmony Primary;;
P14001;James Garbutt SDA Primary;;
S17101;King'S College ;;
P17002;La Isla Bonita Elementary Primary;;
P17201;La Isla Carinosa Academy Primary;;
P19401;Ladyville Evangelical Primary;;
P14451;Ladyville SDA Primary;;
S10102;Ladyville Technical High School;;
P17007;Living Hope Preparatory School;;
P10201;Lucky Strike Government Primary;;
S10003;Maud Williams High School;;
P17011;Mother Of Mercy Montessori Primary School;;
P19004;Muslim Community Primary;;
S15001;Nazarene High School;;
P14003;New Horizon SDA Primary School;;
S17003;Ocean Academy High School;;
P11202;Our Lady Of LourdesR C Primary;;
P11403;Our Lady Of The Way Primary;;
S11001;Pallotti High School;;
P19402;Pancotto Primary;;
P18460;Pilgrim Fellowship Mennonite Primary;;
P12004;Queens Quare Anglican Primary;;
P19005;Queens Treet Baptist Primary School;;
S10004;Sadie Vernon Technical High School;;
S19002;San Pedro High School;;
P11004;San Pedro RC Primary;;
P12304;Saint Agnes Anglican Primary School;;
S11002;Saint Catherine Academy;;
P11007;Saint Ignatius RC Primary School;;
P11008;Saint John Vianney Primay School;;
P12006;Saint John's Anglican Primary School;;
S11003;Saint John's College;;
J11001;Saint John's College Junior College;;
P11011;Saint Joseph RC Primary;;
P13004;Saint Luke Methodist Primary;;
P11012;Saint Martin De Porres Primary School;;
P12008;Saint Mary's Anglican Primary School;;
P11404;Saint Therese RC Primary School;;
P10001;Stella Maris School;;
P17004;The Island Academy Primary School;;
P19006;The Salvation Army Primary School;;
P13005;Trinity Methodist Primary School;;
P19007;Unity Presbyterian Primary;;
S13001;Wesley College ;;
P13006;Wesley Lower Primary School;;
P13008;Wesley Upper Primary School;;
P13202;Zion Park Methodist Primary School;;
;;;
;Cayo District 92;;
;;;
S29101;Alvin L.Young Nazarene High ;;
P20401;Armenia Government Primary School;;
P29002;Arms Of Love Primary;;
S29100;Belize Christian Academy High School;;
P27401;Belize Christian Academy Primary;;
S28001;Belmopan Baptist High School;;
S20001;Belmopan Comprehensive School;;
S23001;Belmopan Methodist High School;;
P24450;Billy White SDA Primary;;
P21009;Bishop O.P. Martin RC Primary;;
P20201;Buena Vista Government Primary;;
P24401;Bullet Tree SDA Primary;;
S27103;Cayo Christian Academy High School;;
P21201;Cristo Rey RC Primary School CYO;;
S24001;Eden SDA High School;;
P24001;Eden SDA Primary;;
P20104;El Progresso Community Primary School;;
P24002;El Shaddai SDA Primary;;
P28104;Evangelical Mennonite Mission Church School;;
P25002;Faith Nazarene Primary;;
P20301;Frank'SEddy Government Primary;;
P20003;GardenCity Primary;;
P60104;Golden Stream Government Primary;;
P60106;Graham Creek Government Primary School;;
P20105;Hidden Paradise Government Primary;;
P28207;Hill Top Primary School;;
P24003;Hills OfP romise Primary;;
P21102;Holy CrossRC Primary;;
P25001;Howard Smith Nazarene Primary;;
P20101;Iguana Creek Government Primary;;
P21401;Immaculate Conception RC Primary;;
P28301;Jireh Fundamental Education;;
S28101;Jireh Fundamental High School;;
P20004;Kuxlin Ha Government Primary;;
P20404;La Gracia Government Primary;;
P21101;La Inmaculada RC PrimaryCyo;;
P20102;Los Tambos Government Primary;;
P28205;Lower Barton Creek Primary;;
S20002;Mopan Technical High School;;
P20103;More Tomorrow Government Primary;;
P21002;Mount Carmel Primary;;
P28103;Mountain View Mennonite Primary School;;
P20106;New Life Government Primary CYO;;
P29401;Ontario Christian Primary;;
P21405;Our Lady Of FatimaRC PrimaryCyo;;
S21004;Our Lady Of GuadalupeRC High School;;
P21008;Our Lady Of GuadalupeRC PrimaryCyo;;
S21002;Our Lady Of MountCarmel High School;;
P25401;Raymond Sheppard Nazarene Primary School;;
S28401;Red Creek Mennonite High School;;
P28401;Red Creek Mennonite Primary School;;
P28208;Riverside Primary School;;
P28102;Rose Glen Primary School;;
S28102;Rose Glen Secondary School;;
S21001;Sacred Heart College ;;
P21005;Sacred Heart RC Primary School CYO;;
S21003;Saint Ignatius High School;;
P21106;Saint OscarRomeroRc Primary School;;
P21202;San Antonio RC Primary SchoolCyo;;
P29201;San Antonio United Pentecostal Primary School;;
P21410;San Jose Succotz RC Primary;;
P21107;San Marcos RC Primary CYO;;
P20006;Santa Cruz Government Primary;;
P29003;Santa Elena Baptist Primary;;
P21007;Santa Elena RC PrimaryCyo;;
P21301;Santa Familia RC Primary;;
P28106;Seven Miles Christian School;;
P28101;Spanish Lookout Mission Primary School;;
P22001;Saint Andrew Anglican Primary School;;
P22002;Saint Ann's Anglican Primary School;;
P22402;Saint Barnabas Anglican Primary School;;
P21407;Saint Edmund Campion Primary School;;
P21408;Saint Francis Xavier RC Primary SchoolCyo;;
P22401;Saint Hilda's Anglican Primary School;;
P21403;Saint Joseph RC Cotton Tree;;
P21103;Saint Joseph RC Duck Run 2;;
P21402;Saint Jude RC Primary School CYO;;
P21406;Saint Margaret Mary RC Primary School;;
P28402;Saint Margaret's Christian Day Primary;;
P21409;Saint Martin De Porres RC Primary SchoolCyo;;
P20402;Saint Martin's Government Primary School;;
P20403;Saint Matthew's Government Primary School;;
P21404;Saint Michael RC Primary;;
P21411;Saint Vincent Pallotti RC Primary School;;
P28201;Sunlight Christian Education;;
P27001;The Shepherds Academy Primary;;
P28001;United Christian Mennonite Primary School;;
P20002;United Evergreen Primary;;
P26101;Valley Of PeaceChristian Primary School;;
S24101;Valley Of Peace SDA Academy;;
P25402;Victorious Nazarene Primary School;;
P28202;Wispering Pines Mennonite Primary;;
;;;
;Corozal District 49;;
;;;
S34101;Belize Adventist College ;;
P31402;Buena Vista RC Primary School;;
P30401;Calcutta Government Primary School;;
P34401;Calcutta SDA Primary School;;
P31403;Caledonia RC Primary School;;
P30402;Chan Chen Government Primary School;;
P34001;Christiline Gill SDA Primary School;;
P31102;Chunox RC Primary School;;
P34101;Chunox SDA Primary School;;
S30102;Chunox Saint Viator Vocational High School;;
P39402;Concepcion Presbyterian Primary School;;
P31404;Concepcion RC Primary School;;
P31101;Copper Bank RC Primary School;;
P48104;Cornerstone Christian School;;
S37101;Cornerstone Presbyterian High School;;
P39001;Corozal Church Of Christ Primary School;;
S39001;Corozal Community College ;;
P33001;Corozal Methodist Primary School;;
P35001;Corozal Nazarene Primary School;;
P31405;Cristo Rey RC Primary School;;
S30101;Escuela Secundaria Tecnica Mexico;;
P31499;Fire Burn RC Primary School;;
P33401;Libertad Methodist Primary School;;
P31406;Libertad RC Primary School;;
P34402;Libertad SDA Primary School;;
P38401;Little Belize Mennonity Community Primary;;
P31407;Louisville RC Primary School;;
P31003;Mary Hill RC Primary School;;
P31401;Our Lady Of Guadalupe RC Primary School;;
P30403;Paraiso Government Primary School;;
P31408;Patchakan RC Primary School;;
P39450;Presbyterian Day Primary School;;
P31103;Progresso RC Primary School;;
P34403;Progresso Zills SDA Primary;;
P30404;Ranchito Government Primary School;;
P30405;San Antonio Government Primary School;;
P31409;San Joaquin RC Primary School;;
P31410;San Narciso RC Primary;;
P30406;San Pedro Government Primary;;
P31411;San VictorRC Primary;;
P34410;Santa Clara SDA Primary School;;
P31412;Santa Clara/SanRomanRC Primary;;
P36401;Santa Rita Christian Primary;;
S37102;Sarteneja Baptist High School;;
P31104;Sarteneja LaInmaculada RC Primary School;;
P35101;Sarteneja Nazarene Primary;;
P31002;Saint Francis Xavier Primary School;;
P32001;Saint Paul's Anglican Primary School;;
P31413;Xaibe RC Primary School;;
;;;
;Orange Walk 49;;
;;;
P41401;August Pine Ridge RC Primary;;
S40101;Belize High School Of Agriculture;;
S41002;Bishop Martin High School;;
P40401;Carmelita Government Primary School;;
P47401;Casey Community Primary School;;
P40402;Chan Pine Ridge Government Primary;;
P49001;Chapel Primary School;;
P49402;Compassion Uecb Primary School;;
P47102;Edenthal Kleinegemeinde School;;
S48102;Edenthal Kleinegemeinde School;;
P40104;Fire Burn Government Primary;;
P11402;Guadalupe RC Primary;;
P49403;Guinea Grass Pentecostal Primary;;
P40101;Indian Church Government Primary;;
P41003;La Inmaculada RC Primary;;
P48402;Lighthouse Mennonite Primary School;;
S47101;LindaVista High School;;
P47101;LindaVista Primary;;
P40001;Louisiana Government Primary;;
P48103;Mennoniten Gemeinde Indian Creek School;;
S41001;Muffles College ;;
S47001;NewHope High School;;
P49003;New Life Presbyterian Primary;;
P41403;Nuevo San Juan RC Primary;;
S40001;Orange Walk Technical High School;;
P41201;Our Lady Of Fatima RC Primary;;
P41202;San Antonio RC Primary School;;
P40105;San Carlos Government Primary;;
P41404;San Estevan RC Primary;;
P41004;San Francisco RC Primary;;
P40403;San Jose Government Primary;;
P41405;San Jose Nuevo Palmar RC Primary;;
P49401;San Lazaro Methodist Primary;;
P41406;San Lazaro RC Primary;;
P41407;San Luis RC Primary;;
P40406;San Pablo Government Primary;;
P41408;San Pablo RC Primary;;
P41204;San Roman RC Primary;;
P40102;Santa Cruz Government Primary;;
P40103;Santa Martha Government Primary;;
S48101;Shalom Mennonite High School;;
P48401;Shalom Mennonite Primary School;;
P48201;Shipyard Mennonite Community Primary School;;
P44001;Solomon's SDA Primary;;
P41203;Saint Michael RC Primary;;
P42001;Saint Peter'SAnglican Primary School;;
P40405;Trial Farm Government Primary School;;
P40404;Trinidad Government Primary;;
P41409;Yo Creek Sacred Heart RC Primary School;;
;;;
;Stann Creek 38;;
;;;
S50102;Agriculture And Natural Resource Institute ANRI;;
P52001;Christ The King Anglican Primary;;
P59101;Church Of Christ Primary;;
P57002;Coastland Education Institute Primary;;
S51002;Delille Academy High ;;
P53001;Epworth Methodist Primary;;
P28203;Garden Valley Mennonite School;;
P41402;Guinea Grass Roman Catholic Primary School;;
P51401;Holy Angels RC Primary;;
P51303;Holy Family RC Primary;;
P51002;Holy Ghost RC Primary;;
P53401;Hope Creek Methodist Primary;;
S57101;Hummingbird Christian Mennonite High ;;
P58450;Hummingbird Christian Mennonite Primary;;
S50101;Independence High School;;
P50103;Independence Primary;;
P57001;Kids First Child Development Center Primary;;
P59401;Light Of The Valley Baptist Primary;;
P50301;Maya Mopan Government Primary;;
P57003;Moriah Learning Center Primary;;
P57201;Peninsula InternationalAcademy Primary;;
P56302;Red Bank Christian School;;
P51302;Richard QuinnRC Primary School;;
P51004;Sacred Heart RC Primary School;;
P51301;San Juan Bosco Primary School;;
