MOE_Code;MOE_Name;Address;Contact Person;Telephone;Telephone_Alt1;Telephone_Alt2;Email;Website;Year Opened;Longitude;Latitude;Area Administrative;Locality;Type;Ownership;Sector;School Administrator 1;School Administrator 2
K21011;A to Z Learning Tree Preschool;2 Mount Mossey, Belmopan;Michelle Cano;610-0270;;;a2zlearningtreepresch@gmail.com;;2010;-88.7615876;17.25881748;Cayo;Urban;Preschool;Private Schools;Private;Michelle Cano (Principal);Danielle Cano
K11002;ABC Preschool;San Pedro Town, Lion Street, Airstrip Area 1 Angel Lane;Wilfredo L Alamilla Jr;226-3070;;;abcpreschoolsp@hotmail.com;;1979;-87.96542771;17.91752466;Belize;Urban;Preschool;Private Schools;Private;Wilfredo L Alamilla Jr;Faride Salinas
K50001;Alexia Nolberto PreSchool;Wagie'le   Benguche Extension  Dangriga Town;Phidalia Castillo;627-3396;;;phideliaramos@yahoo.com;;1984;-88.2295573;16.97709801;Stann Creek;Urban;Preschool;Government Schools;Government;Phidalia Castillo;
K44101;All God's Children Preschool1;San Lazaro Village  Orange Walk District;Elsie Cordova;342-9030;665-9851;666-5387;elsiecordova@gmail.com;;1972;-88.6604248;18.03806787;Orange Walk;Rural;Preschool;Assemblies Of God Schools;Government Aided;Elsie Cordova;Ahira Cordova
K24105;All God's Children Preschool2;Another World  Roaring Creek;Esther Elizabeth Smith;623-0840;;;esmith_elshaddai@yahoo.com;;2006;-88.79888588;17.26315121;Cayo;Rural;Preschool;U.E.C.B Schools;Government Aided;Esther Smith (Head teacher);Lisa Elizabeth Gordon
K22001;Angela Casey Preschool;Independence Park Area  Belmopan;Angela T. Casey;802-2623;;;bmpcompresch@yahoo.com;;1983;-88.7668741;17.2502956;Cayo;Urban;Preschool;Community Schools;Specially Assisted;Angela Casey;Gayner Humes/ Karen  Castillo
K14002;Anglican Diocesan Preschool;12 Gabourel Lane;Francisca Thomas;207-0639; 615-2099;;anglicandiocesanpreschool@yahoo.com;;2006;-88.18431715;17.49564532;Belize;Urban;Preschool;Anglican Schools;Government Aided;Francisca Thomas, Principal;Zydah Cayetano Teacher
K24109;Armenia Development Preschool;46 miles Hummingbird Highway, Armenia Village;Clementina Romero;615-5252;;;armeniagovsch@gmail.com;;2013;-88.74521394;17.15541443;Cayo;Rural;Preschool;Government Schools;Government;Erminda Pop;
K23003;Arms of Love Preschool2;Kontiki Area, San Ignacio;Yvonne Javier;667-3590;660-1627;;rachelisejuan@hotmail.com;;2009;-89.07821862;17.14441666;Cayo;Urban;Preschool;Evangelical Schools;Government Aided;;
K44104;August Pine Ridge Preschool;August Pine Ridge Village;Blanca E. Torres;303-3288;;;;;2014;-88.72686586;17.97276769;Orange Walk;Rural;Preschool;Catholic Schools;Government Aided;;
