MOE_Code;MOE_Name;Address;Contact Person;Telephone;Telephone_Alt1;Telephone_Alt2;Email;Website;Year Opened;Longitude;Latitude;Area Administrative;Locality;Type;Ownership;Sector;School Administrator 1;School Administrator 2
P61101;Aguacate RC Primary;Aguacate Village;Louis Cucul;653-0756;;;aguacaterc@gmail.com;;1950;-89.091994;16.161555;Toledo;Rural;Primary;Catholic Schools;Government Aided;Louis Cucul;Jenella Pop
P12001;All Saints Anglican Primary School;First & Dunn Street, Kings Park;Collin Estrada;223-1390;203-0273;;allsaintsschool@live.com;https://www.allsaintsschool.edu.bz/;1958;-88.19344599;17.50660556;Belize;Urban;Primary;Anglican Schools;Government Aided;Collin Estrada;Ines Berry
P17010;Ambergris Caye Elementary Primary;1 Turtle Street, San Pedro Town;Amanda Burgos;226-2226;;;officeadmins@aces.edu.bz;aces.edu.bz;2010;-87.9772002;17.9061496;Belize;Urban;Primary;Private Schools;Private;Amanda Burgos;Jovani Grajalez
P20401;Armenia Government Primary School;Mile 46 Hummingbird Highway;Clementina Romero;615-5252;;;armeniagovschl@gmail.com;;1993;-88.74495422;17.15552726;Cayo;Rural;Primary;Government Schools;Government;Clementina Romero;Marin Rosado
P29002;Arms of Love Primary;Kontiki Area;Chantel Petzold;;;;principal.armsofloveprimary@gmail.com;;2014;-89.07819206;17.14421006;Cayo;Urban;Primary;U.E.C.B Schools;Government Aided;Iris Cano (Principal);
P41401;August Pine Ridge RC Primary;August Pine Ridge;Blanca Estela Torres;666-2939;303-3288;;bestorres@gmail.com;;2014;-88.7267839;17.9731652;Orange Walk;Rural;Primary;Catholic Schools;Government Aided;;
P27401;Belize Christian Academy Primary;Mile 47 George Price Highway;Carolyn Hulse;822-3048;;;information@belizechristianacademy.com;www.belizechristianacademy.com;2008;-88.7836532;17.277441;Cayo;Rural;Primary;Private Schools;Private;Carolyn Hulse,Minerva Blancaneaux;Sherlee Camal,Jomaira Martinez
P17001;Belize Elementary Primary School;Princess Margaret Drive, Belize City;Majiba Sharp;223-5765;;;bes@btl.net;www.bes.edu.bz;1988;-88.19728079;17.50686001;Belize;Urban;Primary;Private Schools;Private;Majiba Sharp;Iris Tewes
P10302;Belize Rural Primary School;Double Head, Flowers Bank, Rancho, Bermudian Landing;Ardeth McFadzean Kelly - VP;615-8395;;;bzerps@yahoo.com;;2011;-88.5554351;17.5531873;Belize;Rural;Primary;Government Schools;Government;Juliet Roca;
P17005;Bernice Yorke Institute of Learning Primary;#27 Corner St. Thomas & 6th Street;Sherry Ali;223-1876;626-7873;;info@byi.bz;www.byi.bz;1966;-88.2333959;17.5172936;Belize;Urban;Primary;Private Schools;Private;Malaika Yorke, Owner/Technology Director;Tanya Barrow, Owner/Technology Director
