MOE_Code;MOE_Name;Address;Contact Person;Telephone;Telephone_Alt1;Telephone_Alt2;Email;Website;Year Opened;Longitude;Latitude;Area Administrative;Locality;Type;Ownership;Sector;School Administrator 1;School Administrator 2
S50102;Agriculture and Natural Resource Institute - ANRI;Canada Hill Road, Stann Creek;Stanley Murillo;532-2085;;;anrischool@yahoo.com;;2008;-88.353042;16.977876;Stann Creek;Rural;Secondary;;Government;;
S29101;Alvin L. Young Nazarene High School;San Jose Succotz;Bay Rivas;671-8382;612-9886;;principal@alynhs.edu.bz;;2008;-89.1235953;17.077725;Cayo;Rural;Secondary;;Government Aided;;
S12001;Anglican Cathedral College;71 Regent Street;Paulett Gentle;227-2098;;;angcolbelize@yahoo.com;;1982;-88.1877227;17.4891354;Belize;Urban;Secondary;;Government Aided;;
S34101;Belize Adventist College;Calcutta Village  Corozal District;Pamela Heron;423-0080;423-0044;;bzadvcol@yahoo.com;;2014;-88.43607;18.36517;Corozal;Rural;Secondary;;Government Aided;;
S29100;Belize Christian Academy High School;Mile 44 1;Minerva Blancaneaux;822-3048;;;information@belizechristianacademy.com;;2014;-88.7836532;17.277441;Cayo;Rural;Secondary;;Private;;
S17004;Belize High School;Mercy Lane, Belize City;Majiba Sharp;223-5765;;;info@belizehighschool.edu.bz;;2014;-88.1980484;17.5061933;Belize;Urban;Secondary;;Private;;
S40101;Belize High School of Agriculture;San Lazaro/Trinidad;Abel Celiz;621-7847;;;bhsa1984@yahoo.com;;2014;-88.6730195;18.0305483;Orange Walk;Rural;Secondary;;Government;;
S10101;Belize Rural High School;Double Head Cabbage,  Belize District;Hubert Pascual;621-6036;611-0894;;principal@brhs.edu.bz;;1983;-88.5557391;17.5517134;Belize;Rural;Secondary;;Government;;
S60103;Bella Vista Government Secondary School;Bella Vista Village;Juanita Lucas;601-7903;615-3403;;principal.bvgss@gmail.com;;2021;-88.51737314;16.50363212;Toledo;Rural;Secondary;;Government;;
S28001;Belmopan Baptist High School;Banana Bank Area, Belmopan;Maureen Arnold;822-2437;;;bbhs_accts@yahoo.com;;1998;-88.78877827;17.2700661;Cayo;Rural;Secondary;;Government Aided;;
S20001;Belmopan Comprehensive School;George Price Blvd.;Shirley Vaughan;822-2253;;;comprebz@yahoo.com;;1970;-88.7689387;17.245532;Cayo;Urban;Secondary;;Government;;
S23001;Belmopan Methodist High School;Ring Road, Belmopan;Indira Bowden;822-2153;;;bmpmethodist.hs@gmail.com;;2013;-88.7624841;17.2473976;Cayo;Urban;Secondary;;Government Aided;;
S41002;Bishop Martin High School;1/2  mile San Lorenzo Road;Angel Leiva;322-3469;;;office@bmhsow.edu.bz;;2002;-88.5739059;18.0980072;Orange Walk;Urban;Secondary;;Government Aided;;
S14001;Canaan SDA High School;1508 Buttonwood Bay, Coney Drive, P.O. Box 1690;Jaime Roberts;223-2297;;;chsprincipal@chs.edu.bz;;1988;-88.2094435;17.5116047;Belize;Urban;Secondary;;Government Aided;;
S27103;Cayo Christian Academy High School;Ontario Village  P.O. Box 636  Belmopan, Belize;Nazle Banner;672-2009;;;ccabelize@gmail.com;;2014;-88.8856444;17.226233;Cayo;Rural;Secondary;;Private;;
S30102;Chunox Saint Viator Vocational High School;1.5 miles Chunox-Sarteneja Road  P.O. Box 330  Corozal Town;Marconie  Moh;433-6031;669-3452;621-4341;chunox_stv@hotmail.com;;2004;-88.3299479;18.3046976;Corozal;Rural;Secondary;;Government Aided;;
S60102;Corazon Creek Technical High;Carzon Creek Village, Toledo;Roberto Mai;615-3914;;;ccths2009@gmail.com;;2009;-89.119719;16.053391;Toledo;Rural;Secondary;;Government;;
S37101;Cornerstone Presbyterian High School;Box 232  Mile 74 1/2 Philip Goldson Highway  Corozal District;Yadira Quintanilla;670-9374;;;therockjesus@gmail.com;;2003;-88.4913423;18.320742;Corozal;Rural;Secondary;;Government Aided;;
S39001;Corozal Community College;P.O. Box 63  San Andres  Corozal District;Matias Casanova;422-2541;;;principal@ccc.edu.bz;;1978;-88.4057988;18.394154;Corozal;Urban;Secondary;;Government Aided;;
S51002;Delille Academy High;2nd New Site, Dangriga Town, PO Box 262;Dina Villafranco;522-3917;522-0601;;delilleacademy@yahoo.com;;2014;-88.23269916;16.9666388;Stann Creek;Urban;Secondary;;Government Aided;;
S24001;Eden SDA High School;Eden Drive, Santa Elena, Cayo District;Francisco Ottoniel Pivaral;824-2966;;;principal@eden.edu.bz;;1987;-89.0533178;17.1652635;Cayo;Urban;Secondary;;Government Aided;;
S48102;Edenthal Kleinegemeinde School;Edenthal Community  Orange Walk;Dennis Kornelsen;664-9911;;;edenthalkleingemeindeschool@gmail.com;;1978;-88.97966144;17.92993412;Orange Walk;Rural;Secondary;;Private;;
S10001;Edward P. Yorke High School;Princess Margaret Drive, Belize City;Karen Canto;224-4554;;;epyorke@yahoo.com;;1969;-88.1995511;17.508747;Belize;Urban;Secondary;;Government;;
S30101;Escuela Secundaria Tecnica Mexico;San Roman Village  Corozal District  Belize;Oscar Santana;423-3140;;;estm83@estm.edu.bz;;1983;-88.5097694;18.3038216;Corozal;Rural;Secondary;;Government;;
0XXX1;Evangelical Mennonite Mission Church Secondary School;Spanish Lookout;Dayna Wutke;;;;;;2021;0;0;Cayo;Rural;Secondary;;Private;;
S10005;Excelsior High School;Fabers Road, Belize City;Dawn Watters;227-0044;;;dwnwatters@yahoo.com;;2007;-88.19932073;17.48807239;Belize;Urban;Secondary;;Government;;
S50301;Georgetown Technical High School;29 Miles Southern Highway, Stann Creek District;Ervin Casimiro;671-9827;671-9806;;principal@gttech.edu.bz;;2007;-88.49238052;16.64068446;Stann Creek;Rural;Secondary;;Government;;
S27102;Grace Instrument Christian Academy;Duck Run 3, Spanish Lookout;Rachael Adegbami;610-8678;;;graceinstrumentacademy@gmail.com;;2020;-89.0392055;17.267192;Cayo;Rural;Secondary;;Private;;
S10002;Gwen Lizarraga High School;18 Antelope Street  Belize City;Louis Mortis;227-7144;;;principal.glhs@gmail.com;;2014;-88.2001554;17.4944598;Belize;Urban;Secondary;;Government;;
S57101;Hummingbird Christian Mennonite High;Hummingbird highway  Stann Creek District;Jason Kropf;668-9664;;;jmk28bz@gmail.com;;2015;-88.5382091;17.04859458;Stann Creek;Rural;Secondary;;Private;;
S50101;Independence High School;Savannah Road, Independence Village;Omar Longsworth;523-2220;;;ind_highschool@yahoo.com;;2014;-88.42424198;16.53673198;Stann Creek;Rural;Secondary;;Government;;
0XXX2;Itz’at STEAM Academy;Corner Simon Lamb and Freetown Road;Christine Coc;615-7406;;;;;2022;-88.1924081;17.5043772;Belize;Urban;Secondary;;Government;;
S28101;Jireh Fundamental High School;Spanish Lookout;Tina Perez;671-0477;;;jirehfe@yahoo.com;;2014;-89.0026375;17.2144427;Cayo;Rural;Secondary;;Private;;
S60101;Julian Cho Technical High School;14.5 miles PG/San Antonio Rd, PO Box 171;Kent Leo Arzu;613-4159;;;principaljctech@gmail.com;;2000;-88.935773;16.228385;Toledo;Rural;Secondary;;Government;;
S17101;King's College;31.5 miles Old Northern Highway.   P. O. Box 290 Belize City;Pedro Reyes;232-7501;;;kingscollegebz@gmail.com;;1967;-88.311766;17.791775;Belize;Rural;Secondary;;Government Aided;;
S10102;Ladyville Technical High School;9 3/4 Mls Philip Goldson Highway  Ladyville Village  Belize District;Diane Wesby;225-3499;;;ladyvilletech@yahoo.com;;1999;-88.3060509;17.5494496;Belize;Rural;Secondary;;Government;;
S47101;Linda Vista High School;Blue Creek, P.O. Box 2;Nancy Rempel;666-7947;615-0039;;lvsbluecreek@gmail.com;;2014;-88.89969616;17.89732382;Orange Walk;Rural;Secondary;;Private;;
S67101;Mafredi Vo-Tech School;1 mile Manfredi-Blue Creek Road, PO Box 35;Daniel Sullivan;631-6367;;;mafredivotech@gmail.com;;2014;-88.98975;16.232608;Toledo;Rural;Secondary;;Private;;
S10003;Maud Williams High School;Corner Dolphin and Racoon Sts., P.O. Box 1990, Belize City;Deborah Domingo;227-6717;;;admin@mwhs.edu.bz;;2000;-88.19454973;17.49192952;Belize;Urban;Secondary;;Government;;
S20002;Mopan Technical High School;Said Musa St., New Area, Benque Viejo del Carmen;Katie Isabel Jones;823-2028;632-0842;;mopantech@mths.edu.bz;;2014;-89.1287156;17.0760484;Cayo;Urban;Secondary;;Government;;
S41001;Muffles College;Orange Walk Town, PO Box 64;Maria Johnston;322-2033;322-0302;;principal@mufflescollege.com;;2014;-88.5619272;18.0860243;Orange Walk;Rural;Secondary;;Government Aided;;
S15001;Nazarene High School;31 Princess Margaret Drive, Belize City;Elisa Seguro;203-2248;613-1342;;nhs@nazarenehighbz.org;;1964;-88.1981201;17.507925;Belize;Urban;Secondary;;Government Aided;;
S47001;New Hope High School;Rear Stadium Street, Orange Walk Town;Eugenia Gongora;322-3389;;;nhhs.owbze@gmail.com;;2002;-88.57558464;18.08423719;Orange Walk;Urban;Secondary;;Government Aided;;
S17003;Ocean Academy High School;Ocean Academy Drive, Caye Caulker;Noemi Zaiden;226-0321;613-0276;;keme.rubiceli@oaseatide.com;;2008;-88.029892;17.7366771;Belize;Rural;Secondary;;Government Aided;;
S40001;Orange Walk Technical High School;Stadium Street, PO Box 126;Julian Polanco;322-2540;;;julianpolanco2003@yahoo.com;;1983;-88.5726507;18.0855768;Orange Walk;Urban;Secondary;;Government;;
S21004;Our Lady of Guadalupe RC High School;George Price Boulevard  P. O. Box 479  City of Belmopan;Judith Lopez;822-2806;;;ologh@ologh.edu.bz;;2003;-88.76513798;17.26747375;Cayo;Urban;Secondary;;Government Aided;;
S21002;Our lady of Mount Carmel High School;Cors. Jose Marti Street/Mount Carmel Lane  Benque Viejo del Carmen Town;Anselma Rosado;823-2024;670-2535;;secretary@mchs.edu.bz;;1990;-89.13514763;17.0724036;Cayo;Urban;Secondary;;Government Aided;;
S11001;Pallotti High School;Princess Margaret Drive;Rushawn Reynolds Bowman;224-4886;;;admin@pallottibz.org;;2014;-88.1971102;17.5050251;Belize;Urban;Secondary;;Government Aided;;
S64101;Providence SDA High School;San Antonio Village;Carlos Enrique Cima;613-7585;;;providencesda21@gmail.com;;2025;-89.016305;16.248588;Toledo;Rural;Secondary;;Specially Assisted;;
0XXX3;QSI International School of Belize;11/13 Dean Crescent  University Heights  Belmopan;Linda Souders;832-2666;;;linda-souders@qsi.org;;2011;-88.761395;17.237347;Cayo;Urban;Secondary;;Private;;
S28401;Red Creek Mennonite High School;Esperanza Village  Cayo District;Jeffrey Mullet;671-4460;;;redcreekprivateschool@gmail.com;;2015;-89.04976;17.17381;Cayo;Rural;Secondary;;Private;;
S28102;Rose Glen Secondary School;Route 40 West  Spanish Lookout  Cayo District;Betty Thiessen;672-0325;;;roseglenschool@gmail.com;;2000;-89.0116314;17.27268181;Cayo;Rural;Secondary;;Private;;
S21001;Sacred Heart College;Joseph Andrew Drive, PO Box 163;Mrs. Rocio Carballo;824-2102;;;president@shc.edu.bz;;1960;-89.07501095;17.16106939;Cayo;Urban;Secondary;;Government Aided;;
S10004;Sadie Vernon Technical High School;Cor. Morning Glory St. and  Amandala Drive;Deborah Martin;222-5683;615-9477;;sadietech@yahoo.com;;1964;-88.200535;17.501393;Belize;Urban;Secondary;;Government;;
S11002;Saint Catherine Academy;6 Hutson St., Belize City;Salome Terry-Tillett;223-4908;223-1758;;administration@sca.edu.bz;;1883;-88.18271036;17.49654584;Belize;Urban;Secondary;;Government Aided;;
S21003;Saint Ignatius High School;#2A George Price Avenue,  Santa Elena Town,   Cayo District;Jeaneane Neal;824-3294;;;principal@sihs.edu.bz;;2001;-89.06653845;17.15785688;Cayo;Urban;Secondary;;Government Aided;;
S11003;Saint John's College;Princess Margaret Drive;Fidel Pol;223-3733;;;headmaster@hs.sjc.edu.bz;;1887;-88.199187;17.512349;Belize;Urban;Secondary;;Government Aided;;
S19002;San Pedro High School;P.0. Box 23,  San Pedro Town, A.C.  Belize, District;Emil R. Vasquez;226-2045;;;sphs@btl.net;;1971;-87.95937;17.924698;Belize;Urban;Secondary;;Government Aided;;
S37102;Sarteneja Baptist High School;Sarteneja Village;Areli Canul;628-8420;423-2143;;ccasarteneja@yahoo.com;;2002;-88.1406488;18.3549284;Corozal;Rural;Secondary;;Specially Assisted;;
S48101;Shalom Mennonite High School;Carmelita Village, Orange Walk;David Steinhaver;630-7022;;;davystein3@yahoo.com;;2014;-88.54199195;18.01185113;Orange Walk;Rural;Secondary;;Private;;
S59001;Stann Creek Ecumenical College;P.O. Box 84, Dangriga;Ray Lawrence;522-2114;;;ecuhighschool@gmail.com;;2014;-88.22789998;16.96301332;Stann Creek;Urban;Secondary;;Government Aided;;
S69001;Toledo Community College;New City Area  PO Box 41  Punta Gorda Town;Shaunna Sanchez;722-2101;;;prinicpal@tcc.edu.bz;;1983;-88.80636306;16.10511058;Toledo;Urban;Secondary;;Government;;
