MOE_Code;MOE_Name;Address;Contact Person;Telephone;Telephone_Alt1;Telephone_Alt2;Email;Website;Year Opened;Longitude;Latitude;Area Administrative;Locality;Type;Ownership;Sector;School Administrator 1;School Administrator 2
J34101;Belize Adventist Jr. College;Calcutta Village;Rojer Acosta;423-0068;;;dean@bajc.edu.bz;www.bajc.edu.bz;2008;-88.43607;18.36517;Corozal;Rural;Tertiary;Adventist Schools;Government Aided;;
J30101;Centro Escolar Mexico Jr. College;San Roman Village;Hugo Gonzalez;423-3132;;;cemjc07@yahoo.com;;2014;-88.5087351;18.3048316;Corozal;Rural;Tertiary;Government Schools;Government;;
J39001;Corozal Jr. College;San Andres Rd.;Marlon Brown;422-3062;;;mbrown@cjc.edu.bz;www.cjc.edu.bz;2005;-88.4033286;18.395117;Corozal;Urban;Tertiary;Community Schools;Government Aided;;
J50101;Independence Jr. College;Savannah Road  Independence Village  Stann Creek District;Marie Young;523-2566;;;ind_juniorcollege@yahoo.com;;2007;-88.42633169;16.53732171;Stann Creek;Rural;Tertiary;Government Schools;Government;;
J21002;John Paul the Great College;58 Churchill St., Benque Viejo;David N. Ruiz;665-1934;;;david_ruiz@hotmail.com;;2013;-89.12891017;17.06577705;Cayo;Urban;Tertiary;Catholic Schools;Private;;
J41001;Muffles Jr. College;1.3 miles San Estevan Rd.;Adrian Leiva;322-1016;;;mjc@btl.net;;2008;-88.5406432;18.0951036;Orange Walk;Urban;Tertiary;Catholic Schools;Government Aided;;
J21001;Sacred Heart Jr. College;3 Joseph Andrews Dr.;Fermin Magana;824-2102;;;jcinfo@shc.edu.bz;www.shc.edu.bz;2008;-89.07583411;17.16192069;Cayo;Urban;Tertiary;Catholic Schools;Government Aided;;
J19001;San Pedro Jr. College;Lagoon St.;Paul Kelly;226-4691;;;pkelly@spjc.edu.bz;;2014;-87.95937165;17.92470397;Belize;Urban;Tertiary;Community Schools;Government Aided;;
J11001;Saint John's Jr. College;Princess Margaret Dr.;Solangel Alvarado;223-3732;;;dean@jc.sjc.edu.bz;www.sjc.edu.bz;2008;-88.19824811;17.51233831;Belize;Urban;Tertiary;Catholic Schools;Government Aided;;
J59001;Stann Creek Ecumenical Jr. College;Ecumenical Drive;Karen Martinez;522-2654;;;ecumenicaljuniorcollege@yahoo.com;http://ejc.edu.bz/main/welcome/;2008;-88.226453;16.963194;Stann Creek;Urban;Tertiary;Community Schools;Government Aided;;
J13001;Wesley Jr. College;34 Yarborough Rd;Eleanor Gillett;227-0333;;;wesleyjuniorcollege@yahoo.com;;2014;-88.18998202;17.48752669;Belize;Urban;Tertiary;Methodist Schools;Government Aided;;
